# t/[s],x/[mm]
30,717
60,697
90,673
120,643
180,585
240,550
300,548
360,578
420,625
480,666
540,687
600,680
660,652
720,616
780,588
840,578
900,589
960,614
1020,641
1080,659
1140,663
1200,653
1260,630
1320,611
1380,593
1440,598
1500,612
1560,628
1620,643
1680,648
1740,645
1800,634
1860,622
1920,613
1980,609
2040,614
2100,622
2160,633
2220,638
2280,639
2340,634
2400,627
2460,619
2520,616
2580,617
2640,621
2700,627
2760,633
2820,634
2880,633
2940,629
3000,624
3060,622
3120,620
3180,622
3240,625
3300,628
3360,631
3420,631
3480,629
3540,626
3600,624
